Displacement (mm),Force (N),Time (s)
-1.4495053777306561,-1896.020073226596,404.918962124078
-1.4494535884611304,-1893.3434128268423,404.92677512407806
-1.4494015877743096,-1890.6678851620456,404.934587124078
-1.4493493766677759,-1887.9944718033091,404.94240012407806
-1.4492969559690918,-1885.324128179227,404.950212124078
-1.449244326409726,-1882.657761024648,404.95802512407806
-1.4491914887275967,-1879.9961903327858,404.965837124078
-1.4491384437707067,-1877.3400964620246,404.97365012407806
-1.4490851925636967,-1874.6900137474113,404.981462124078
-1.4490317362770062,-1872.046378656111,404.98927512407806
-1.4489780760996809,-1869.4095890984063,404.997087124078
-1.448924213131954,-1866.7800521154127,405.00490012407806
-1.448870148377694,-1864.1582000416702,405.012712124078
-1.4488158827667765,-1861.5444477324374,405.02052512407806
-1.4487614171147263,-1858.9391125690786,405.028337124078
-1.4487067520342818,-1856.342367063933,405.03615012407806
-1.4486518878797112,-1853.7542545015751,405.043962124078
-1.4485968247746472,-1851.174737430926,405.05177512407806
-1.4485415627199432,-1848.6037430777394,405.059587124078
-1.4484861017309882,-1846.041195642865,405.06740012407806
-1.4484304419229679,-1843.4870437385277,405.075212124078
-1.4483745834914923,-1840.9412804295803,405.08302512407806
-1.448318526601509,-1838.403952489193,405.090837124078
-1.4482622712724034,-1835.8751732514793,405.09865012407806
-1.4482058173696095,-1833.3551370570028,405.106462124078
-1.4481491647085307,-1830.844113220694,405.11427512407806
-1.4480923131626013,-1828.3424125841898,405.122087124078
-1.4480352626632222,-1825.850344662428,405.12990012407806
-1.4479780130957354,-1823.368193777669,405.137712124078
-1.4479205642275472,-1820.896215647947,405.14552512407806
-1.4478629157416507,-1818.4346365744545,405.153337124078
-1.4478050672890626,-1815.9836598358347,405.16115012407806
-1.447747018498704,-1813.5434698352115,405.168962124078
-1.4476887690022042,-1811.114209737964,405.17677512407806
-1.447630318522569,-1808.6959631657262,405.184587124078
-1.4475716669881997,-1806.2887747764555,405.19240012407806
-1.447512814592802,-1803.8926797925699,405.200212124078
-1.447453761774651,-1801.5077065033963,405.20802512407806
-1.4473945091759077,-1799.1338531865727,405.215837124078
-1.447335057641866,-1796.7710507956294,405.22365012407806
-1.4472754082545518,-1794.4191354566237,405.231462124078
-1.4472155623554654,-1792.077876664463,405.23927512407806
-1.447155521529211,-1789.747051374079,405.247087124078
-1.4470952875755072,-1787.4264850554591,405.25490012407806
-1.4470348624982456,-1785.1160351804851,405.262712124078
-1.4469742484849888,-1782.8155660254436,405.27052512407806
-1.4469134478572594,-1780.5249573670442,405.278337124078
-1.446852463024046,-1778.2441494253312,405.28615012407806
-1.4467912964677516,-1775.9731726238895,405.293962124078
-1.4467299507616085,-1773.71211710045,405.30177512407806
-1.446668428612941,-1771.4610877161622,405.309587124078
-1.4466067329185421,-1769.220204009897,405.31740012407806
-1.4465448667727132,-1766.9896061315524,405.325212124078
-1.4464828333581239,-1764.7694075718873,405.33302512407806
-1.4464206357775045,-1762.5596246560879,405.340837124078
-1.44635827697274,-1760.3601423147563,405.34865012407806
-1.4462957597598598,-1758.170711379931,405.356462124078
-1.4462330868921451,-1755.9909340950537,405.36427512407806
-1.4461702610755358,-1753.8202329106211,405.372087124078
-1.446107284922652,-1751.6578331142132,405.37990012407806
-1.4460441608916865,-1749.5027746931903,405.387712124078
-1.4459808912748944,-1747.3539561965092,405.39552512407806
-1.445917478268459,-1745.2102002920233,405.403337124078
-1.4458539240696342,-1743.0702910552975,405.41115012407806
-1.445790230913641,-1740.9329471156607,405.418962124078
-1.4457264010638327,-1738.796777274493,405.42677512407806
-1.4456624368197657,-1736.660278417178,405.434587124078
-1.4455983405238808,-1734.5218721453246,405.44240012407806
-1.4455341145156324,-1732.37995030894,405.450212124078
-1.4454697610561011,-1730.2329041884814,405.45802512407806
-1.445405282282405,-1728.0791401264955,405.465837124078
-1.445340680203887,-1725.9171197226274,405.47365012407806
-1.445275956701135,-1723.7454201354005,405.481462124078
-1.4452111134978383,-1721.5627543709606,405.48927512407806
-1.445146152128873,-1719.367934121354,405.497087124078
-1.4450810739408628,-1717.1598227322972,405.50490012407806
-1.4450158801131976,-1714.9373145389422,405.512712124078
-1.444950571667169,-1712.6993411064368,405.52052512407806
-1.4448851494667576,-1710.444912084473,405.528337124078
-1.4448196142306984,-1708.17319917802,405.53615012407806
-1.4447539665518614,-1705.883621510395,405.543962124078
-1.4446882069057323,-1703.5758730379273,405.55177512407806
-1.4446223356370753,-1701.249894619658,405.559587124078
-1.4445563529375978,-1698.9058411488802,405.56740012407806
-1.4444902588492488,-1696.5440704156613,405.575212124078
-1.4444240533082846,-1694.165132076151,405.58302512407806
-1.444357736205423,-1691.7697387812807,405.590837124078
-1.444291307429173,-1689.3587536012938,405.59865012407806
-1.4442247668803663,-1686.93322385391,405.606462124078
-1.4441581144776017,-1684.4944198064268,405.61427512407806
-1.4440913501924275,-1682.0438112363504,405.622087124078
-1.4440244741227894,-1679.582974564387,405.62990012407806
-1.4439574865675808,-1677.113489401148,405.637712124078
-1.4438903880581755,-1674.6368732578762,405.64552512407806
-1.4438231793398455,-1672.1545386165021,405.653337124078
-1.4437558613583983,-1669.667750452598,405.66115012407806
-1.443688435280088,-1667.1776081089847,405.668962124078
-1.4436209024738305,-1664.685056648111,405.67677512407806
-1.4435532644224291,-1662.1908960873902,405.684587124078
-1.4434855226372387,-1659.6957937598308,405.69240012407806
-1.4434176786289612,-1657.200326784536,405.700212124078
-1.443349733903771,-1654.7050360663932,405.70802512407806
-1.443281689951096,-1652.2104595898886,405.715837124078
-1.443213548243299,-1649.7171531022288,405.72365012407806
-1.4431453102582545,-1647.2257189380284,405.731462124078
-1.4430769774729355,-1644.7368293448517,405.73927512407806
-1.4430085513107227,-1642.2512053601154,405.747087124078
-1.4429400331159004,-1639.7695495518726,405.75490012407806
-1.4428714241876466,-1637.2924904760657,405.762712124078
-1.4428027258208875,-1634.820587596957,405.77052512407806
-1.4427339393270329,-1632.354375016968,405.778337124078
-1.4426650660395213,-1629.894380298524,405.78615012407806
-1.4425961072848197,-1627.441093436544,405.793962124078
-1.4425270643195145,-1624.994929081071,405.80177512407806
-1.4424579382953961,-1622.5562311846045,405.809587124078
-1.4423887302916816,-1620.1252990566322,405.81740012407806
-1.442319441366135,-1617.7023817278002,405.825212124078
-1.4422500725671812,-1615.2876612466716,405.83302512407806
-1.4421806249115725,-1612.8812754682638,405.840837124078
-1.4421110993766688,-1610.4833623511224,405.84865012407806
-1.442041496937434,-1608.0940845887746,405.856462124078
-1.4419718186108874,-1605.7136312308064,405.86427512407806
-1.4419020654535515,-1603.3422131276104,405.872087124078
-1.4418322385083102,-1600.980065133915,405.87990012407806
-1.441762338739686,-1598.6274577719153,405.887712124078
-1.4416923670036184,-1596.2847094924941,405.89552512407806
-1.4416223240782526,-1593.9521858848495,405.903337124078
-1.4415522107552876,-1591.6302791471833,405.91115012407806
-1.4414820279477567,-1589.3193747786313,405.918962124078
-1.4414117767421142,-1587.0198150663966,405.92677512407806
-1.441341458380375,-1584.7318577421586,405.934587124078
-1.44127107421977,-1582.4556314051817,405.94240012407806
-1.4412006256908247,-1580.1910965548875,405.950212124078
-1.4411301142418544,-1577.9380133854409,405.95802512407806
-1.441059541289837,-1575.6959183439062,405.965837124078
-1.440988908217044,-1573.46412274155,405.97365012407806
-1.4409182163930498,-1571.2417434873837,405.981462124078
-1.4408474671692437,-1569.027754965807,405.98927512407806
-1.4407766618607558,-1566.821031469304,405.997087124078
-1.440705801762787,-1564.62035951645,406.00490012407806
-1.4406348881857138,-1562.4244463983084,406.012712124078
-1.4405639224691762,-1560.2319591038029,406.02052512407806
-1.4404929059815237,-1558.0415635010074,406.028337124078
-1.440421840133481,-1555.8519185758832,406.03615012407806
-1.4403507264129742,-1553.6616528395252,406.043962124078
-1.4402795664151344,-1551.4693827813314,406.05177512407806
-1.4402083618346024,-1549.2737724420713,406.059587124078
-1.4401371144141388,-1547.07357962092,406.06740012407806
-1.440065825864999,-1544.8676606571298,406.075212124078
-1.4399944977839896,-1542.654952995661,406.08302512407806
-1.4399231315926515,-1540.434470644583,406.090837124078
-1.4398517285082246,-1538.2053217056564,406.09865012407806
-1.439780289534974,-1535.9667116591486,406.106462124078
-1.439708815447956,-1533.7179174437265,406.11427512407806
-1.4396373067583874,-1531.4582699055409,406.122087124078
-1.4395657636966055,-1529.1871609046589,406.12990012407806
-1.43949418625302,-1526.9040608303485,406.137712124078
-1.4394225742719728,-1524.6085425361266,406.14552512407806
-1.4393509275470675,-1522.3002974027067,406.153337124078
-1.439279245843394,-1519.9791249760874,406.16115012407806
-1.4392075288290187,-1517.644906610561,406.168962124078
-1.4391357759897152,-1515.2975807889582,406.17677512407806
-1.4390639865921822,-1512.9371300333235,406.184587124078
-1.4389921596963726,-1510.5635875007317,406.19240012407806
-1.4389202941867103,-1508.1770534659663,406.200212124078
-1.4388483887992582,-1505.7777008360615,406.20802512407806
-1.4387764421555025,-1503.365776729686,406.215837124078
-1.438704452821028,-1500.941628187355,406.22365012407806
-1.4386324193835458,-1498.505746579487,406.231462124078
-1.4385603405333216,-1496.0587914345167,406.23927512407806
-1.4384882151299465,-1493.601583014775,406.247087124078
-1.438416042229636,-1491.1350857532132,406.25490012407806
-1.4383438210415007,-1488.6603911676184,406.262712124078
-1.4382715508319819,-1486.1787085484593,406.27052512407806
-1.4381992308467242,-1483.691367984433,406.278337124078
-1.4381268602831119,-1481.1997951680762,406.28615012407806
-1.4380544383028127,-1478.7054328874535,406.293962124078
-1.4379819640754994,-1476.209664787713,406.30177512407806
-1.4379094368349261,-1473.713795506278,406.309587124078
-1.437836855899869,-1471.219054134009,406.31740012407806
-1.4377642206344083,-1468.7265657936894,406.325212124078
-1.4376915303998379,-1466.2373061575677,406.33302512407806
-1.4376187845569433,-1463.7520898885118,406.340837124078
-1.437545982502443,-1461.2716073606914,406.34865012407806
-1.437473123705574,-1458.796476628558,406.356462124078
-1.437400207734893,-1456.3272613313525,406.36427512407806
-1.4373272342551344,-1453.8644431781108,406.372087124078
-1.437254202983029,-1451.408382732199,406.37990012407806
-1.4371811136414658,-1448.959293437431,406.387712124078
-1.4371079659607626,-1446.517237703077,406.39552512407806
-1.4370347597249915,-1444.0821521276218,406.403337124078
-1.4369614948136404,-1441.6538789409844,406.41115012407806
-1.4368881711797805,-1439.232172866686,406.418962124078
-1.4368147887749092,-1436.8166998636523,406.42677512407806
